Record,Action,Time,Policy,Enforcement,User,Log Level,From resource name,To resource name,Host,Application,Attributes,,,,,,,,,,,,,,,,,,,
Department1:Engineering; Business Process1:Product Development; Site1:pf-https2.qapf.qalab01.nextlabs.com/sites/qa; User1:john.tyler@qapf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Attach to Item,8/17/2005,/CE/Department Policy1,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,X,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/cnqa/reporter/reporterprd.pdf,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/a.doc,Created by:pf-https2\Administrator,Modified by:qapf\john.tyler,Date Created:11-05-2007,Date Modified:08-17-2008,Format:doc,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
2,Create/Edit,2/14/2006,/CE/Department Policy2,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
3,Rename,2/14/2007,/CE/Department Policy2,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
4,Open,12/14/2007,/CE/Department Policy2,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
5,Print,11/14/2007,/CE/Department Policy2,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
6,Export,2/14/2008,/CE/Department Policy2,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,2,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
7,Copy,8/14/2008,/CE/Department Policy2,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
8,Move,9/14/2008,/CE/Department Policy2,Allow/Monitor,john.tyler@qapf.qalab01.nextlabs.com,1,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/c.xls,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
9,Delete,9/18/2008,/CE/Department Policy2,Deny,john.tyler@qapf.qalab01.nextlabs.com,3,SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,,pf-cc2.qapf.qalab01.nextlabs.com                            10.23.57.201                            ,c:\program files\microsoft office\office11\excel.exe,Name:SharePoint://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Title:Requirements document,Resource Signature:http://pf-https2.qapf.qalab01.nextlabs.com/sites/qa/test1/b.xls,Created by:pf-https2\Administrator,Modified by:qapf\jimmy.carter,Date Created:11-05-2007,Date Modified:04-09-2008,Format:xls,Keywords:REQ,Publisher: jimmy carter,Revision:R5,Source:sourcedoc1,Status:Scheuled,Subject:Platform requirements,Version:1.1A,Custom:~,Obligation: Log SharePoint Control,Department:Engineering,Obligation:Log SharePoint Control,Business Process: Product Development
